"r","K_observed","K_expected","L"
56,17469.8965115859,9852.03456165759,18.5710451197079
57,18115.4400549936,10207.0345315132,18.9363131977994
58,18731.7996714334,10568.3176866761,19.2173362751625
59,19392.9628761675,10935.8840271461,19.568262077504
60,20116.3432493853,11309.7335529233,20.0201907654931
61,20774.1509967544,11689.8662640076,20.318003168682
62,21427.783654655,12076.2821603992,20.5873802483414
63,22086.1527810912,12468.9812420979,20.8465311028843
64,22800.0606909896,12867.9635091038,21.1908723017461
65,23456.9480296543,13273.2289614169,21.4093655661142
66,24254.0287879435,13684.7775990371,21.8652214644036
67,24954.5584846131,14102.6094219646,22.1250956297044
68,25735.0490652248,14526.7244301992,22.5081241595801
69,26466.5362479573,14957.122623741,22.7854026562309
70,27161.1980816328,15393.80400259,22.9821373704646
71,27893.1134980514,15836.7685667461,23.226608677572
72,28630.6069748577,16286.0163162095,23.4641568733512
73,29315.8073645892,16741.54725098,23.5997479583064
74,30033.1364313246,17203.3613710577,23.7744559647211
75,30859.4857997553,17671.4586764426,24.1104404823751
76,31728.5195315734,18145.8391671346,24.4962757562454
77,32545.4770172323,18626.5028431339,24.7818602952039
78,33326.0977285658,19113.4497044403,24.9952735562641
79,34209.267216326,19606.6797510539,25.3510802726047
80,35092.4367040861,20106.1929829747,25.6894958507681
81,35913.2430034447,20611.9894002026,25.9183814548149
82,36677.5332017124,21124.0690027378,26.0500875471153
83,37487.4122959964,21642.4317905801,26.2365046184811
84,38365.7116256151,22167.0777637296,26.5087566707257
85,39306.4459349297,22698.0069221863,26.8553992073552
86,40233.870415298,23235.2192659501,27.1673040795215
87,41120.3648709412,23778.7147950211,27.4072491667606
88,42023.4341571087,24328.4935093994,27.6567098944168
89,42864.1808871109,24884.5554090848,27.8079301226492
90,43829.9444596264,25446.9004940773,28.1164875552331
91,44832.8610308534,26015.5287643771,28.4602146826492
92,45780.2046061635,26590.440219984,28.7157475959892
93,46744.9800887141,27171.6348608981,28.981102190881
94,47619.8369746217,27759.1126871194,29.1172810270049
95,48549.773651807,28352.8736986479,29.3136071609037
96,49495.3997638494,28952.9178954835,29.5184252030439
97,50573.0341786573,29559.2452776264,29.8774871810494
98,51638.2605952283,30171.8558450764,30.206742618304
99,52702.6588521099,30790.7495978336,30.5213393259901
100,53730.3523701811,31415.9265358979,30.7780652386604
101,54676.9322650404,32047.3866592695,30.9250093278899
102,55725.1177591748,32685.1299679482,31.1835421195175
103,56870.2202041632,33329.1564619341,31.5449862329857
104,57883.1856716608,33979.4661412272,31.7379469533173
105,58921.4898818639,34636.0590058275,31.9499643595261
106,59952.0214582558,35298.9350557349,32.1423943866096
107,61074.6492819911,35968.0942909495,32.4297839834284
108,62311.156415804,36643.5367114713,32.8341475164847
109,63462.202149986,37325.2623173003,33.1289778452472
110,64651.6183334987,38013.2711084365,33.4546941488283
111,65706.699113708,38707.5630848798,33.6205100129196
112,66900.4551787844,39408.1382466304,33.9283258096338
113,67958.1051725559,40114.9965936881,34.0773154593949
114,69005.9317917724,40828.138126053,34.2068496886884
115,70099.6008255795,41547.562843725,34.3766914894
116,71256.3955260957,42273.2707467043,34.6041671062879
117,72412.8639611556,43005.2618349907,34.8213769062768
118,73529.3633997381,43743.5361085843,34.9873305046441
119,74799.7428519142,44488.0935674851,35.3032651429309
120,75941.4478213531,45238.934211693,35.476408540483
121,77135.8399340123,45996.0580412082,35.694289717547
122,78453.3596715534,46759.4650560305,36.0268331258592
123,79705.2887809423,47529.15525616,36.282709043097
124,81003.2758130295,48305.1286415967,36.5744173414919
125,82346.1967928707,49087.3852123405,36.8999954564752
126,83424.4335344249,49875.9249683916,36.9565032249097
127,84681.2739080158,50670.7479097498,37.1794343380404
128,85883.2141279146,51471.8540364152,37.3404854055855
129,87027.6813852496,52279.2433483877,37.4384912109515
130,88319.5905413707,53092.9158456675,37.6693138681694
131,89657.5222128653,53912.8715282544,37.9345307836674
132,90979.3852927216,54739.1103961486,38.1753148303168
133,92238.415681886,55571.6324493498,38.3487659642588
134,93478.024394726,56410.4376878583,38.4963167889994
135,94870.5450453362,57255.526111674,38.7763861851637
136,96163.7043049454,58106.8977207968,38.956731143214
137,97525.1543717213,58964.5525152268,39.1908646556888
138,98943.5074434648,59828.490494964,39.4674522073114
139,100328.296146207,60698.7116600084,39.7050321824007
140,101657.847263252,61575.21601036,39.8852350585084
141,103084.594302328,62458.0035460187,40.1431629393617
142,104532.348332765,63347.0742669846,40.4107450243185
143,105805.426797156,64242.4281732577,40.5181554000316
144,107227.11510963,65144.065264838,40.7469913323695
145,108669.086663612,66051.9855417254,40.985065549874
146,110139.855994335,66966.18900392,41.2394323476115
147,111573.670892488,67886.6756514218,41.4542450646721
148,113029.645306368,68813.4454842308,41.6798711852792
149,114531.375448296,69746.498502347,41.9357721418907
150,116033.236446843,70685.8347057704,42.1835744462352
151,117542.012485191,71631.4540945009,42.4290169958345
152,119137.016141451,72583.3566685386,42.7369765819057
153,120727.409437285,73541.5424278835,43.032466589711
154,122245.35341604,74506.0113725355,43.2610061120971
155,123835.9379616,75476.7635024948,43.5401806134465
156,125533.933100007,76453.7988177612,43.8967032176036
157,126911.813273717,77437.1173183348,43.9907580923445
158,128576.538390653,78426.7190042156,44.3046793849184
159,130231.019045331,79422.6038754036,44.6021140605336
160,131889.431347188,80424.7719318987,44.8943871387602
161,133450.72602686,81433.223173701,45.1035793302825
162,135250.919028906,82447.9576008105,45.4890470418719
163,136928.987163916,83468.9752132272,45.7722450887754
164,138461.724617044,84496.2760109511,45.9374568857654
165,140031.378594728,85529.8599939821,46.1240682220938
166,141629.589412868,86569.7271623203,46.3254541647493
167,143194.290673233,87615.8775159657,46.4951015043799
168,144865.6086941,88668.3110549183,46.7374103768709
169,146396.961273193,89727.0277791781,46.86940515164
170,148000.964472646,90792.027688745,47.0487736808926
171,149634.037976428,91863.3107836191,47.2429691822805
172,151266.830706251,92940.8770638004,47.4304620272436
173,152986.106101849,94024.7265292889,47.6739450433172
174,154758.160110766,95114.8591800846,47.9483100428361
175,156603.964286751,96211.2750161874,48.2679781071305
176,158266.00531772,97313.9740375974,48.4496249483314
177,160083.124141931,98422.9562443146,48.7344480259129
178,161713.925934979,99538.221636339,48.8813376165988
179,163503.600369088,100659.770213671,49.1333215997267
180,165194.810992312,101787.601976309,49.3101425692195
181,167200.996777592,102921.716924255,49.6983533840059
182,169069.568837553,104062.115057508,49.9838684344757
183,170747.396229068,105208.796376069,50.1321176068479
184,172511.144680369,106361.760879936,50.3331022895475
185,174341.881934884,107521.008569111,50.5732255494261
186,176253.135390814,108686.539443592,50.8609623086636
